ObtenRelojDatosEmps X, 912, '2017/08/15', '07:45:29', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3105, '2017/08/15', '07:45:36', 'N', ' ', ' '
ObtenRelojDatosEmps X, 909, '2017/08/15', '07:45:42', 'N', ' ', ' '
ObtenRelojDatosEmps X, 408, '2017/08/15', '07:46:31', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3022, '2017/08/15', '07:47:08', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3106, '2017/08/15', '07:47:16', 'N', ' ', ' '
ObtenRelojDatosEmps X, 707, '2017/08/15', '07:50:56', 'N', ' ', ' '
ObtenRelojDatosEmps X, 706, '2017/08/15', '07:50:59', 'N', ' ', ' '
ObtenRelojDatosEmps X, 701, '2017/08/15', '07:51:02', 'N', ' ', ' '
ObtenRelojDatosEmps X, 704, '2017/08/15', '07:51:05', 'N', ' ', ' '
ObtenRelojDatosEmps X, 700, '2017/08/15', '07:51:06', 'N', ' ', ' '
ObtenRelojDatosEmps X, 709, '2017/08/15', '07:51:08', 'N', ' ', ' '
ObtenRelojDatosEmps X, 402, '2017/08/15', '07:51:12', 'N', ' ', ' '
ObtenRelojDatosEmps X, 708, '2017/08/15', '07:51:15', 'N', ' ', ' '
ObtenRelojDatosEmps X, 800, '2017/08/15', '07:52:59', 'N', ' ', ' '
ObtenRelojDatosEmps X, 802, '2017/08/15', '07:53:03', 'N', ' ', ' '
ObtenRelojDatosEmps X, 807, '2017/08/15', '07:53:06', 'N', ' ', ' '
ObtenRelojDatosEmps X, 801, '2017/08/15', '07:53:09', 'N', ' ', ' '
ObtenRelojDatosEmps X, 404, '2017/08/15', '07:53:35', 'N', ' ', ' '
ObtenRelojDatosEmps X, 403, '2017/08/15', '07:53:38', 'N', ' ', ' '
ObtenRelojDatosEmps X, 405, '2017/08/15', '07:53:41', 'N', ' ', ' '
ObtenRelojDatosEmps X, 400, '2017/08/15', '07:53:48', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3024, '2017/08/15', '07:54:12', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3003, '2017/08/15', '07:54:16', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3002, '2017/08/15', '07:54:23', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3005, '2017/08/15', '07:54:35', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3010, '2017/08/15', '07:54:38', 'N', ' ', ' '
ObtenRelojDatosEmps X, 504, '2017/08/15', '07:55:07', 'N', ' ', ' '
ObtenRelojDatosEmps X, 501, '2017/08/15', '07:55:13', 'N', ' ', ' '
ObtenRelojDatosEmps X, 505, '2017/08/15', '07:55:17', 'N', ' ', ' '
ObtenRelojDatosEmps X, 512, '2017/08/15', '07:55:21', 'N', ' ', ' '
ObtenRelojDatosEmps X, 503, '2017/08/15', '07:55:26', 'N', ' ', ' '
ObtenRelojDatosEmps X, 1014, '2017/08/15', '07:55:33', 'N', ' ', ' '
ObtenRelojDatosEmps X, 1023, '2017/08/15', '07:56:02', 'N', ' ', ' '
ObtenRelojDatosEmps X, 113, '2017/08/15', '07:59:17', 'N', ' ', ' '
ObtenRelojDatosEmps X, 110, '2017/08/15', '07:59:20', 'N', ' ', ' '
